"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","30-Jul-2015","       2506.75","       2516.05","       2516.80","       2472.80","       2472.80","       2480.65","       2490.30","    1385287","          3449782850.45","      77684","    1230247","         88.81"
"TCS","EQ","31-Jul-2015","       2480.65","       2489.90","       2519.00","       2487.00","       2511.45","       2510.75","       2502.23","     981888","          2456907019.80","      67496","     675985","         68.85"
"TCS","EQ","03-Aug-2015","       2510.75","       2503.40","       2525.00","       2500.90","       2508.00","       2509.60","       2514.14","     589662","          1482492014.75","      50976","     404877","         68.66"
"TCS","EQ","04-Aug-2015","       2509.60","       2510.40","       2523.00","       2486.00","       2510.00","       2508.90","       2500.32","    1171346","          2928737113.80","      82052","     973725","         83.13"
"TCS","EQ","05-Aug-2015","       2508.90","       2520.00","       2550.00","       2511.00","       2544.55","       2547.15","       2539.25","     494497","          1255652001.55","      46758","     339571","         68.67"
"TCS","EQ","06-Aug-2015","       2547.15","       2565.00","       2583.00","       2550.10","       2569.30","       2573.30","       2566.25","    1105683","          2837460973.70","      67097","     888664","         80.37"
"TCS","EQ","07-Aug-2015","       2573.30","       2573.00","       2573.00","       2547.00","       2559.00","       2552.05","       2558.60","     594253","          1520457968.10","      51065","     457333","         76.96"
"TCS","EQ","10-Aug-2015","       2552.05","       2572.00","       2589.00","       2556.60","       2575.00","       2572.10","       2576.47","     715591","          1843701542.65","      45499","     563414","         78.73"
"TCS","EQ","11-Aug-2015","       2572.10","       2578.00","       2610.00","       2542.10","       2600.80","       2604.20","       2595.57","    1100153","          2855526876.90","      60746","     777937","         70.71"
"TCS","BL","12-Aug-2015","       1020.00","       2604.20","       2604.20","       2604.20","       2604.20","       2604.20","       2604.20","      49865","           129858433.00","          1","          0","          0.00"
"TCS","EQ","12-Aug-2015","       2604.20","       2603.10","       2691.40","       2602.00","       2670.00","       2671.70","       2658.48","    1739892","          4625460143.15","     116770","    1317431","         75.72"
"TCS","EQ","13-Aug-2015","       2671.70","       2670.00","       2684.00","       2556.00","       2638.35","       2635.60","       2652.19","     703213","          1865057138.10","      47820","     460590","         65.50"
"TCS","EQ","14-Aug-2015","       2635.60","       2638.00","       2719.35","       2637.10","       2692.05","       2703.20","       2688.81","    1146982","          3084016067.40","      82195","     766818","         66.86"
"TCS","EQ","17-Aug-2015","       2703.20","       2690.10","       2696.80","       2655.00","       2685.90","       2684.75","       2673.60","     386822","          1034207797.20","      30502","     206955","         53.50"
"TCS","EQ","18-Aug-2015","       2684.75","       2706.90","       2749.90","       2690.00","       2745.95","       2740.90","       2736.66","     958463","          2622984632.55","     100314","     623865","         65.09"
"TCS","EQ","19-Aug-2015","       2740.90","       2750.00","       2752.85","       2721.90","       2727.00","       2733.60","       2739.06","     845035","          2314600373.50","      90389","     588336","         69.62"
"TCS","EQ","20-Aug-2015","       2733.60","       2745.00","       2745.00","       2672.00","       2686.50","       2686.85","       2702.74","    1174649","          3174771771.20","     105196","     842334","         71.71"
"TCS","EQ","21-Aug-2015","       2686.85","       2712.00","       2729.90","       2655.10","       2671.00","       2676.15","       2684.30","    1768040","          4745943361.30","     113746","    1315006","         74.38"
"TCS","EQ","24-Aug-2015","       2676.15","       2639.00","       2645.00","       2569.10","       2586.00","       2578.65","       2599.95","    2346172","          6099928317.60","      98288","    1766434","         75.29"
"TCS","EQ","25-Aug-2015","       2578.65","       2587.90","       2622.00","       2535.50","       2564.80","       2567.15","       2574.64","    1962900","          5053751284.75","      90437","    1340952","         68.31"
"TCS","EQ","26-Aug-2015","       2567.15","       2558.05","       2639.00","       2511.95","       2579.80","       2576.75","       2591.93","    1608079","          4168033295.30","      92978","    1139025","         70.83"
"TCS","EQ","27-Aug-2015","       2576.75","       2614.90","       2614.90","       2545.80","       2567.00","       2574.65","       2572.91","    2632399","          6772916405.90","     126702","    2065390","         78.46"
"TCS","EQ","28-Aug-2015","       2574.65","       2609.00","       2609.00","       2557.70","       2563.10","       2570.85","       2581.92","    1372076","          3542585118.95","     102566","    1063723","         77.53"
"TCS","EQ","31-Aug-2015","       2570.85","       2590.00","       2590.00","       2531.05","       2575.00","       2564.05","       2566.03","    1846022","          4736944518.70","     109961","    1434044","         77.68"
"TCS","EQ","01-Sep-2015","       2564.05","       2556.00","       2611.20","       2530.00","       2533.20","       2537.40","       2574.50","    1493801","          3845789530.50","      96695","     981661","         65.72"
"TCS","EQ","02-Sep-2015","       2537.40","       2559.70","       2620.45","       2548.00","       2600.00","       2591.80","       2595.11","    1882975","          4886522945.45","     114103","    1263275","         67.09"
"TCS","EQ","03-Sep-2015","       2591.80","       2596.10","       2615.00","       2576.25","       2606.00","       2605.60","       2594.76","    1132537","          2938659690.20","      91703","     745864","         65.86"
"TCS","EQ","04-Sep-2015","       2605.60","       2611.40","       2614.90","       2539.15","       2544.00","       2547.45","       2568.96","    1213198","          3116651985.35","     124154","     800848","         66.01"
"TCS","EQ","07-Sep-2015","       2547.45","       2553.00","       2559.95","       2532.70","       2539.60","       2539.75","       2546.50","     879592","          2239883159.80","      73248","     638480","         72.59"
"TCS","EQ","08-Sep-2015","       2539.75","       2545.00","       2564.10","       2523.50","       2540.30","       2540.30","       2540.52","     893873","          2270899930.95","      64944","     616912","         69.02"
"TCS","EQ","09-Sep-2015","       2540.30","       2562.95","       2574.00","       2544.00","       2551.00","       2549.75","       2558.04","    1022538","          2615692014.25","      62654","     625155","         61.14"
"TCS","EQ","10-Sep-2015","       2549.75","       2542.00","       2578.50","       2527.00","       2550.00","       2545.40","       2553.83","    1332909","          3404019638.10","      96715","     916263","         68.74"
"TCS","EQ","11-Sep-2015","       2545.40","       2546.50","       2568.40","       2540.60","       2549.80","       2552.00","       2553.59","     796336","          2033516637.85","      60997","     560414","         70.37"
"TCS","EQ","14-Sep-2015","       2552.00","       2565.00","       2565.00","       2543.00","       2548.00","       2551.65","       2552.98","     794659","          2028750151.55","      57713","     577291","         72.65"
"TCS","EQ","15-Sep-2015","       2551.65","       2551.65","       2558.90","       2536.00","       2537.25","       2547.60","       2548.86","     689950","          1758583961.95","      64604","     485074","         70.31"
"TCS","EQ","16-Sep-2015","       2547.60","       2555.00","       2565.00","       2541.05","       2548.00","       2550.35","       2553.80","     878408","          2243276051.65","      69451","     634884","         72.28"
"TCS","EQ","18-Sep-2015","       2550.35","       2565.00","       2586.00","       2539.00","       2545.00","       2551.25","       2565.18","    1227647","          3149141305.85","      70579","     870927","         70.94"
"TCS","EQ","21-Sep-2015","       2551.25","       2550.00","       2557.10","       2533.20","       2555.65","       2551.05","       2545.78","     554420","          1411429757.40","      59635","     370607","         66.85"
"TCS","EQ","22-Sep-2015","       2551.05","       2557.50","       2572.40","       2490.00","       2522.55","       2526.80","       2545.14","    1040623","          2648536284.15","      72612","     671655","         64.54"
"TCS","EQ","23-Sep-2015","       2526.80","       2534.30","       2557.75","       2512.60","       2534.60","       2532.65","       2533.36","     614176","          1555931596.75","      37626","     345011","         56.17"
"TCS","EQ","24-Sep-2015","       2532.65","       2535.50","       2590.00","       2529.90","       2579.00","       2580.40","       2561.80","    1177127","          3015562644.85","      71506","     824902","         70.08"
"TCS","EQ","28-Sep-2015","       2580.40","       2594.00","       2619.00","       2579.50","       2600.00","       2593.70","       2603.35","    1183406","          3080820833.95","      77392","     894029","         75.55"
"TCS","EQ","29-Sep-2015","       2593.70","       2583.35","       2634.00","       2569.85","       2592.00","       2588.25","       2603.73","    1662976","          4329946170.65","     103754","    1244496","         74.84"
"TCS","EQ","30-Sep-2015","       2588.25","       2643.70","       2643.70","       2570.95","       2585.00","       2588.05","       2585.98","    1684168","          4355227068.05","      81073","    1273762","         75.63"
"TCS","EQ","01-Oct-2015","       2588.05","       2599.00","       2649.95","       2592.20","       2641.10","       2644.60","       2630.47","    1417204","          3727914114.80","      94874","    1002629","         70.75"
"TCS","EQ","05-Oct-2015","       2644.60","       2652.70","       2770.00","       2652.70","       2719.90","       2711.65","       2711.39","    2403653","          6517248343.20","     146358","    1616394","         67.25"
"TCS","EQ","06-Oct-2015","       2711.65","       2725.00","       2726.00","       2684.00","       2686.20","       2700.00","       2704.90","    1989795","          5382189365.20","      96553","    1635016","         82.17"
"TCS","EQ","07-Oct-2015","       2700.00","       2693.95","       2717.00","       2646.95","       2655.00","       2653.95","       2677.99","    1032765","          2765730773.40","     102318","     683381","         66.17"
"TCS","EQ","08-Oct-2015","       2653.95","       2670.00","       2678.35","       2620.00","       2631.90","       2633.80","       2642.62","    1178775","          3115049441.30","     102041","     865714","         73.44"
"TCS","EQ","09-Oct-2015","       2633.80","       2650.50","       2650.60","       2608.00","       2630.00","       2629.65","       2628.83","    1124862","          2957073345.25","      68120","     837088","         74.42"
"TCS","EQ","12-Oct-2015","       2629.65","       2655.00","       2660.35","       2587.00","       2597.70","       2592.60","       2612.17","    1227956","          3207625454.35","      84883","     675044","         54.97"
"TCS","EQ","13-Oct-2015","       2592.60","       2602.80","       2612.00","       2567.60","       2586.85","       2598.55","       2589.61","    3089856","          8001535877.60","     129714","    1303446","         42.18"
"TCS","EQ","14-Oct-2015","       2598.55","       2548.00","       2548.00","       2480.00","       2480.90","       2483.70","       2502.59","    4168564","         10432220480.30","     175646","    2297432","         55.11"
"TCS","EQ","15-Oct-2015","       2483.70","       2490.00","       2503.50","       2465.00","       2468.80","       2467.75","       2478.15","    1607855","          3984511866.85","     107563","    1101822","         68.53"
"TCS","EQ","16-Oct-2015","       2467.75","       2480.90","       2492.00","       2470.00","       2472.00","       2473.75","       2477.86","    1166914","          2891451710.10","      68190","     791055","         67.79"
"TCS","EQ","19-Oct-2015","       2473.75","       2490.00","       2494.95","       2455.85","       2493.95","       2488.75","       2473.90","    1565321","          3872449831.10","      55224","    1047364","         66.91"
"TCS","EQ","20-Oct-2015","       2488.75","       2496.25","       2530.00","       2495.60","       2523.20","       2526.75","       2520.95","    1347542","          3397089855.45","      60572","     942992","         69.98"
"TCS","EQ","21-Oct-2015","       2526.75","       2535.00","       2542.00","       2522.25","       2526.00","       2530.00","       2532.48","     964844","          2443449158.55","      80004","     691629","         71.68"
"TCS","EQ","23-Oct-2015","       2530.00","       2548.00","       2548.00","       2527.30","       2536.95","       2537.15","       2534.65","    1167699","          2959713465.90","      39962","     862305","         73.85"
"TCS","EQ","26-Oct-2015","       2537.15","       2549.00","       2549.00","       2515.10","       2540.00","       2536.55","       2530.16","     707315","          1789621755.30","      58521","     469883","         66.43"
"TCS","EQ","27-Oct-2015","       2536.55","       2530.05","       2544.90","       2520.35","       2528.90","       2531.10","       2531.42","     765210","          1937067442.75","      47064","     541265","         70.73"
"TCS","EQ","28-Oct-2015","       2531.10","       2510.05","       2533.55","       2510.05","       2528.00","       2529.10","       2524.11","     627671","          1584311787.80","      43535","     444506","         70.82"
"TCS","EQ","29-Oct-2015","       2529.10","       2533.55","       2535.40","       2490.05","       2496.00","       2495.35","       2500.06","    1565158","          3912986455.60","      61541","    1065888","         68.10"
"TCS","EQ","30-Oct-2015","       2495.35","       2500.00","       2511.90","       2485.00","       2500.00","       2495.20","       2495.93","     758348","          1892786967.45","      41071","     519557","         68.51"
"TCS","EQ","02-Nov-2015","       2495.20","       2500.00","       2522.80","       2487.55","       2518.00","       2517.35","       2507.96","     659647","          1654368762.90","      48056","     480522","         72.85"
"TCS","EQ","03-Nov-2015","       2517.35","       2528.00","       2547.80","       2518.50","       2538.85","       2543.45","       2536.88","     682453","          1731302984.55","      39895","     502388","         73.62"
"TCS","EQ","04-Nov-2015","       2543.45","       2545.00","       2547.20","       2520.00","       2526.75","       2533.80","       2532.27","     495717","          1255289591.10","      41282","     284406","         57.37"
"TCS","EQ","05-Nov-2015","       2533.80","       2530.80","       2534.95","       2480.00","       2485.00","       2482.65","       2496.94","     798049","          1992676741.45","      38722","     556372","         69.72"
"TCS","EQ","06-Nov-2015","       2482.65","       2492.00","       2518.25","       2483.45","       2505.20","       2505.75","       2507.54","     454012","          1138452606.05","      26028","     298424","         65.73"
"TCS","EQ","09-Nov-2015","       2505.75","       2495.00","       2502.75","       2468.60","       2474.00","       2471.35","       2477.88","    1010778","          2504589508.50","      42927","     819330","         81.06"
"TCS","EQ","10-Nov-2015","       2471.35","       2472.95","       2477.00","       2450.00","       2455.00","       2458.15","       2463.30","     680960","          1677407795.95","      53282","     479205","         70.37"
"TCS","EQ","11-Nov-2015","       2458.15","       2475.00","       2475.00","       2450.00","       2472.00","       2468.80","       2467.45","      67582","           166754977.55","       5197","      34003","         50.31"
